Especies	L1	L2	L3	Altura	Ancho	Peso
5	20	22	23.5	5.875	3.525	135
5	20	22	23.5	55.225	3.995	110
5	20.5	22.5	24	5.856	3.624	130
5	20.5	22.5	24	6.792	3.624	150
5	20.7	22.7	24.2	59.532	3.63	145
5	21	23	24.5	52.185	3.626	150
5	21.5	23.5	25	6.275	3.725	170
5	22	24	25.5	7.293	3.723	225
5	22	24	25.5	6.375	3.825	145
5	22.6	24.6	26.2	67.334	41.658	188
5	23	25	26.5	64.395	36.835	180
5	23.5	25.6	27	6.561	4.239	197
5	25	26.5	28	7.168	4.144	218
5	25.2	27.3	28.7	8.323	51.373	300
5	25.4	27.5	28.9	71.672	4.335	260
5	25.4	27.5	28.9	70.516	4.335	265
5	25.4	27.5	28.9	72.828	45.662	250
5	25.9	28	29.4	78.204	42.042	250
5	26.9	28.7	30.1	75.852	46.354	300
5	27.8	30	31.6	76.156	47.716	320
5	30.5	32.8	34	10.03	6.018	514
5	32	34.5	36.5	102.565	63.875	556
5	32.5	35	37.3	114.884	77.957	840
5	34	36.5	39	10.881	6.864	685
5	34	36	38.3	106.091	67.408	700
5	34.5	37	39.4	10.835	62.646	700
5	34.6	37	39.3	105.717	63.666	690
5	36.5	39	41.4	111.366	74.934	900
5	36.5	39	41.4	111.366	6.003	650
5	36.6	39	41.3	124.313	73.514	820
5	36.9	40	42.3	119.286	71.064	850
5	37	40	42.5	11.73	7.225	900
5	37	40	42.4	123.808	74.624	1015
5	37.1	40	42.5	11.135	6.63	820
5	39	42	44.6	128.002	68.684	1100
5	39.8	43	45.2	119.328	72.772	1000
5	40.1	43	45.5	125.125	74.165	1100
5	40.2	43.5	46	12.604	8.142	1000
5	41.1	44	46.6	124.888	75.958	1000
6	30	32.3	34.8	5.568	33.756	200
6	31.7	34	37.8	57.078	4.158	300
6	32.7	35	38.8	59.364	43.844	300
6	34.8	37.3	39.8	62.884	40.198	300
6	35.5	38	40.5	7.29	45.765	430
6	36	38.5	41	6.396	3.977	345
6	40	42.5	45.5	7.28	43.225	456
6	40	42.5	45.5	6.825	4.459	510
6	40.1	43	45.8	7.786	51.296	540
6	42	45	48	6.96	4.896	500
6	43.2	46	48.7	7.792	4.87	567
6	44.8	48	51.2	7.68	5.376	770
6	48.3	51.7	55.1	89.262	61.712	950
6	52	56	59.7	106.863	69.849	1250
6	56	60	64	9.6	6.144	1600
6	56	60	64	9.6	6.144	1550
6	59	63.4	68	10.812	7.48	1650
7	9.3	9.8	10.8	17.388	10.476	6.7
7	10	10.5	11.6	1.972	1.16	7.5
7	10.1	10.6	11.6	17.284	11.484	7
7	10.4	11	12	2.196	1.38	9.7
7	10.7	11.2	12.4	20.832	12.772	9.8
7	10.8	11.3	12.6	19.782	12.852	8.7
7	11.3	11.8	13.1	22.139	12.838	10
7	11.3	11.8	13.1	22.139	11.659	9.9
7	11.4	12	13.2	22.044	11.484	9.8
7	11.5	12.2	13.4	20.904	13.936	12.2
7	11.7	12.4	13.5	2.43	1.269	13.4
7	12.1	13	13.8	2.277	12.558	12.2
7	13.2	14.3	15.2	28.728	20.672	19.7
7	13.8	15	16.2	29.322	18.792	19.9
