Acidez	Volatilidad	Citricidad	Azucar	pH	Alcohol	Cloruros	Sulfatos	Calidad
6.8	0.775	0.0	3.0	3.45	10.7	0.102	0.56	5
7.0	0.5	0.25	2.0	3.25	9.2	0.07	0.63	5
7.6	0.9	0.06	2.5	3.39	9.8	0.079	0.56	5
8.1	0.545	0.18	1.9	3.3	9.0	0.08	0.59	6
8.3	0.61	0.3	2.1	3.4	10.2	0.084	0.61	6
7.8	0.5	0.3	1.9	3.31	10.4	0.075	0.56	6
8.1	0.545	0.18	1.9	3.3	9.0	0.08	0.59	6
8.1	0.575	0.22	2.1	3.29	9.2	0.077	0.51	5
7.2	0.49	0.24	2.2	3.33	9.4	0.07	0.48	5
8.1	0.575	0.22	2.1	3.29	9.2	0.077	0.51	5
7.8	0.41	0.68	1.7	3.08	9.3	0.467	1.31	5
6.2	0.63	0.31	1.7	3.46	9.3	0.08800000000000001	0.79	5
8.0	0.33	0.53	2.5	3.37	9.6	0.091	0.8	6
8.1	0.785	0.52	2.0	3.21	9.3	0.122	0.69	5
7.8	0.56	0.19	1.8	3.19	9.5	0.10400000000000001	0.93	5
8.4	0.62	0.09	2.2	3.15	9.8	0.084	0.66	5
8.4	0.6	0.1	2.2	3.15	9.8	0.085	0.66	5
10.1	0.31	0.44	2.3	3.32	9.7	0.08	0.67	6
7.8	0.56	0.19	1.8	3.19	9.5	0.10400000000000001	0.93	5
9.4	0.4	0.31	2.2	3.07	10.5	0.09	0.63	6
8.3	0.54	0.28	1.9	3.39	10.0	0.077	0.61	6
7.8	0.56	0.12	2.0	3.37	9.4	0.08199999999999999	0.5	6
8.8	0.55	0.04	2.2	3.21	10.9	0.11900000000000001	0.6	6
7.0	0.69	0.08	1.8	3.34	9.2	0.09699999999999999	0.54	6
7.3	1.07	0.09	1.7	3.3	9.0	0.17800000000000002	0.57	5
8.8	0.55	0.04	2.2	3.21	10.9	0.11900000000000001	0.6	6
7.3	0.695	0.0	2.5	3.49	9.2	0.075	0.52	5
8.0	0.71	0.0	2.6	3.44	9.5	0.08	0.53	5
7.8	0.5	0.17	1.6	3.39	9.5	0.08199999999999999	0.48	5
9.0	0.62	0.04	1.9	3.16	9.4	0.146	0.7	5
8.2	1.33	0.0	1.7	3.53	10.9	0.081	0.49	5
8.1	1.33	0.0	1.8	3.54	10.9	0.08199999999999999	0.48	5
8.0	0.59	0.16	1.8	3.42	10.5	0.065	0.92	7
6.1	0.38	0.15	1.8	3.42	9.4	0.07200000000000001	0.57	5
8.0	0.745	0.56	2.0	3.24	9.4	0.11800000000000001	0.66	5
5.6	0.5	0.09	2.3	3.63	13.0	0.049	0.63	5
5.6	0.5	0.09	2.3	3.63	13.0	0.049	0.63	5
6.6	0.5	0.01	1.5	3.4	9.8	0.06	0.58	6
7.9	1.04	0.05	2.2	3.22	9.9	0.084	0.55	6
8.4	0.745	0.11	1.9	3.19	9.6	0.09	0.82	5
8.3	0.715	0.15	1.8	3.23	9.5	0.08900000000000001	0.77	5
7.2	0.415	0.36	2.0	3.48	9.2	0.081	0.64	5
7.8	0.56	0.19	2.1	3.33	9.5	0.081	0.54	5
7.8	0.56	0.19	2.0	3.32	9.5	0.081	0.54	5
8.4	0.745	0.11	1.9	3.19	9.6	0.09	0.82	5
8.3	0.715	0.15	1.8	3.23	9.5	0.08900000000000001	0.77	5
5.2	0.34	0.0	1.8	3.68	14.0	0.05	0.79	6
6.3	0.39	0.08	1.7	3.34	9.4	0.066	0.58	5
5.2	0.34	0.0	1.8	3.68	14.0	0.05	0.79	6
8.1	0.67	0.55	1.8	3.17	9.4	0.11699999999999999	0.62	5
5.8	0.68	0.02	1.8	3.54	10.0	0.087	0.52	5
7.6	0.49	0.26	1.6	3.11	9.3	0.23600000000000002	0.8	5
6.9	0.49	0.1	2.3	3.42	10.2	0.07400000000000001	0.58	6
8.2	0.4	0.44	2.8	3.53	10.5	0.08900000000000001	0.61	6
7.3	0.33	0.47	2.1	3.33	10.3	0.077	0.53	6
9.2	0.52	1.0	3.4	2.74	9.4	0.61	2.0	4
7.5	0.6	0.03	1.8	3.35	10.1	0.095	0.54	5
7.5	0.6	0.03	1.8	3.35	10.1	0.095	0.54	5
7.1	0.43	0.42	5.5	3.42	10.5	0.07	0.72	5
7.1	0.43	0.42	5.5	3.42	10.5	0.071	0.71	5
7.1	0.43	0.42	5.5	3.42	10.5	0.07	0.72	5
7.1	0.43	0.42	5.5	3.42	10.5	0.071	0.71	5
7.1	0.68	0.0	2.2	3.48	9.3	0.073	0.5	5
6.8	0.6	0.18	1.9	3.59	9.3	0.079	0.57	6
7.6	0.95	0.03	2.0	3.2	9.6	0.09	0.56	5
7.6	0.68	0.02	1.3	3.17	9.2	0.07200000000000001	1.08	4
7.8	0.53	0.04	1.7	3.33	10.0	0.076	0.56	6
7.4	0.6	0.26	7.3	3.37	9.4	0.07	0.49	5
7.3	0.59	0.26	7.2	3.37	9.4	0.07	0.49	5
7.8	0.63	0.48	1.7	3.19	9.5	0.1	0.62	5
6.8	0.64	0.1	2.1	3.34	10.2	0.085	0.52	5
7.3	0.55	0.03	1.6	3.37	9.0	0.07200000000000001	0.48	4
6.8	0.63	0.07	2.1	3.47	10.4	0.08900000000000001	0.55	6
7.5	0.705	0.24	1.8	3.0	9.5	0.36	1.59	5
7.9	0.885	0.03	1.8	3.36	9.1	0.057999999999999996	0.33	4
8.0	0.42	0.17	2.0	3.29	9.2	0.073	0.61	6
8.0	0.42	0.17	2.0	3.29	9.2	0.073	0.61	6
7.4	0.62	0.05	1.9	3.42	11.5	0.068	0.57	6
7.3	0.38	0.21	2.0	3.33	9.5	0.08	0.47	5
6.9	0.5	0.04	1.5	3.35	9.5	0.085	0.78	5
7.3	0.38	0.21	2.0	3.33	9.5	0.08	0.47	5
7.5	0.52	0.42	2.3	3.58	10.5	0.087	0.61	6
7.0	0.805	0.0	2.5	3.48	9.6	0.068	0.56	5
8.8	0.61	0.14	2.4	3.19	9.5	0.067	0.59	5
8.8	0.61	0.14	2.4	3.19	9.5	0.067	0.59	5
8.9	0.61	0.49	2.0	3.12	9.3	0.27	1.02	5
7.2	0.73	0.02	2.5	3.44	9.3	0.076	0.52	5
6.8	0.61	0.2	1.8	3.54	9.3	0.077	0.58	5
6.7	0.62	0.21	1.9	3.52	9.3	0.079	0.58	6
8.9	0.31	0.57	2.0	3.26	9.7	0.111	0.53	5
7.4	0.39	0.48	2.0	3.34	9.2	0.08199999999999999	0.55	5
7.7	0.705	0.1	2.6	3.39	9.7	0.084	0.49	5
7.9	0.5	0.33	2.0	3.2	9.5	0.084	0.55	5
7.9	0.49	0.32	1.9	3.2	9.5	0.08199999999999999	0.55	5
8.2	0.5	0.35	2.9	3.23	9.4	0.077	0.62	5
6.4	0.37	0.25	1.9	3.57	9.8	0.07400000000000001	0.62	6
6.8	0.63	0.12	3.8	3.28	9.5	0.099	0.61	5
7.6	0.55	0.21	2.2	3.28	9.7	0.071	0.55	5
7.6	0.55	0.21	2.2	3.28	9.7	0.071	0.55	5
7.8	0.59	0.33	2.0	3.25	9.4	0.07400000000000001	0.54	5
7.3	0.58	0.3	2.4	3.46	10.2	0.07400000000000001	0.59	5
11.5	0.3	0.6	2.0	3.11	10.1	0.067	0.97	6
5.4	0.835	0.08	1.2	3.57	13.0	0.046	0.85	7
6.9	1.09	0.06	2.1	3.51	11.4	0.061	0.43	4
9.6	0.32	0.47	1.4	3.22	10.3	0.055999999999999994	0.82	7
8.8	0.37	0.48	2.1	3.04	9.3	0.09699999999999999	1.03	5
6.8	0.5	0.11	1.5	3.36	9.5	0.075	0.79	5
7.0	0.42	0.35	1.6	3.34	9.2	0.08800000000000001	0.55	5
7.0	0.43	0.36	1.6	3.34	9.2	0.08900000000000001	0.56	6
12.8	0.3	0.74	2.6	3.2	10.8	0.095	0.77	7
12.8	0.3	0.74	2.6	3.2	10.8	0.095	0.77	7
7.8	0.57	0.31	1.8	3.29	9.3	0.069	0.53	5
7.8	0.44	0.28	2.7	3.22	9.4	0.1	0.67	5
11.0	0.3	0.58	2.1	3.31	10.5	0.054000000000000006	0.88	7
9.7	0.53	0.6	2.0	3.3	12.4	0.039	0.86	6
8.0	0.725	0.24	2.8	3.35	10.0	0.083	0.56	6
11.6	0.44	0.64	2.1	3.21	10.2	0.059000000000000004	0.67	6
8.2	0.57	0.26	2.2	3.3	10.1	0.06	0.43	5
7.8	0.735	0.08	2.4	3.24	9.8	0.092	0.71	6
7.0	0.49	0.49	5.6	3.34	10.5	0.06	0.76	5
8.7	0.625	0.16	2.0	3.14	11.0	0.10099999999999999	0.57	5
8.1	0.725	0.22	2.2	3.36	9.1	0.07200000000000001	0.55	5
7.5	0.49	0.19	1.9	3.39	9.7	0.076	0.54	5
7.8	0.53	0.33	2.4	3.3	9.5	0.08	0.6	5
7.8	0.34	0.37	2.0	3.34	9.4	0.08199999999999999	0.59	6
7.4	0.53	0.26	2.0	3.15	9.4	0.10099999999999999	0.57	5
6.8	0.61	0.04	1.5	3.42	9.5	0.057	0.6	5
8.6	0.645	0.25	2.0	3.28	10.0	0.083	0.6	6
8.4	0.635	0.36	2.0	3.31	10.4	0.08900000000000001	0.57	4
7.7	0.43	0.25	2.6	3.37	10.5	0.073	0.58	6
8.9	0.59	0.5	2.0	3.04	9.5	0.337	1.61	6
9.0	0.82	0.14	2.6	3.39	9.8	0.08900000000000001	0.63	5
7.7	0.43	0.25	2.6	3.37	10.5	0.073	0.58	6
6.9	0.52	0.25	2.6	3.46	11.0	0.081	0.5	5
5.2	0.48	0.04	1.6	3.54	12.2	0.054000000000000006	0.62	7
8.0	0.38	0.06	1.8	3.37	9.9	0.078	0.52	6
8.5	0.37	0.2	2.8	3.34	9.6	0.09	0.7	6
6.9	0.52	0.25	2.6	3.46	11.0	0.081	0.5	5
8.2	1.0	0.09	2.3	3.32	9.0	0.065	0.55	6
7.2	0.63	0.0	1.9	3.37	9.0	0.09699999999999999	0.58	6
7.2	0.63	0.0	1.9	3.37	9.0	0.09699999999999999	0.58	6
7.2	0.645	0.0	1.9	3.37	9.2	0.09699999999999999	0.58	6
7.2	0.63	0.0	1.9	3.37	9.0	0.09699999999999999	0.58	6
8.2	1.0	0.09	2.3	3.32	9.0	0.065	0.55	6
8.9	0.635	0.37	1.7	3.0	9.3	0.263	1.09	5
12.0	0.38	0.56	2.1	3.14	10.9	0.09300000000000001	0.71	6
7.7	0.58	0.1	1.8	3.08	9.8	0.102	0.49	6
15.0	0.21	0.44	2.2	3.07	9.2	0.075	0.84	7
15.0	0.21	0.44	2.2	3.07	9.2	0.075	0.84	7
7.3	0.66	0.0	2.0	3.61	9.9	0.084	0.96	6
7.1	0.68	0.07	1.9	3.38	9.5	0.075	0.52	5
8.2	0.6	0.17	2.3	3.2	9.3	0.07200000000000001	0.45	5
7.7	0.53	0.06	1.7	3.35	9.8	0.07400000000000001	0.48	6
7.3	0.66	0.0	2.0	3.61	9.9	0.084	0.96	6
10.8	0.32	0.44	1.6	3.22	10.0	0.063	0.78	6
7.1	0.6	0.0	1.8	3.47	9.9	0.07400000000000001	0.7	6
11.1	0.35	0.48	3.1	3.17	10.5	0.09	0.53	5
7.7	0.775	0.42	1.9	3.23	9.5	0.092	0.59	5
7.1	0.6	0.0	1.8	3.47	9.9	0.07400000000000001	0.7	6
8.0	0.57	0.23	3.2	3.26	9.3	0.073	0.57	5
9.4	0.34	0.37	2.2	3.22	9.2	0.075	0.62	5
6.6	0.695	0.0	2.1	3.49	9.2	0.075	0.67	5
7.7	0.41	0.76	1.8	3.06	9.4	0.611	1.26	5
10.0	0.31	0.47	2.6	3.36	10.5	0.085	0.8	7
7.9	0.33	0.23	1.7	3.29	9.3	0.077	0.65	5
7.0	0.975	0.04	2.0	3.35	9.4	0.087	0.6	4
8.0	0.52	0.03	1.7	3.34	10.0	0.07	0.57	5
7.9	0.37	0.23	1.8	3.28	9.3	0.077	0.67	5
12.5	0.56	0.49	2.4	3.08	10.9	0.064	0.87	5
11.8	0.26	0.52	1.8	3.2	10.2	0.071	0.72	7
8.1	0.87	0.0	3.3	3.6	9.8	0.096	0.72	4
7.9	0.35	0.46	3.6	3.35	12.8	0.078	0.86	8
6.9	0.54	0.04	3.0	3.69	9.4	0.077	0.91	6
11.5	0.18	0.51	4.0	3.28	10.1	0.10400000000000001	0.97	6
7.9	0.545	0.06	4.0	3.36	10.7	0.087	0.67	6
11.5	0.18	0.51	4.0	3.28	10.1	0.10400000000000001	0.97	6
10.9	0.37	0.58	4.0	3.22	10.1	0.071	0.78	5
8.4	0.715	0.2	2.4	3.31	9.4	0.076	0.64	5
7.5	0.65	0.18	7.0	3.38	9.4	0.08800000000000001	0.77	5
7.9	0.545	0.06	4.0	3.36	10.7	0.087	0.67	6
6.9	0.54	0.04	3.0	3.69	9.4	0.077	0.91	6
11.5	0.18	0.51	4.0	3.28	10.1	0.10400000000000001	0.97	6
10.3	0.32	0.45	6.4	3.23	12.6	0.073	0.82	8
8.9	0.4	0.32	5.6	3.38	10.5	0.087	0.77	7
11.4	0.26	0.44	3.6	3.12	9.3	0.071	0.82	6
7.7	0.27	0.68	3.5	3.25	9.9	0.358	1.08	7
7.6	0.52	0.12	3.0	3.36	9.1	0.067	0.57	5
8.9	0.4	0.32	5.6	3.38	10.5	0.087	0.77	7
9.9	0.59	0.07	3.4	3.31	9.8	0.102	0.71	5
9.9	0.59	0.07	3.4	3.31	9.8	0.102	0.71	5
12.0	0.45	0.55	2.0	3.1	10.3	0.073	0.76	6
7.5	0.4	0.12	3.0	3.37	10.3	0.092	0.7	6
8.7	0.52	0.09	2.5	3.34	10.6	0.091	0.86	7
11.6	0.42	0.53	3.3	3.2	9.2	0.105	0.95	5
8.7	0.52	0.09	2.5	3.34	10.6	0.091	0.86	7
11.0	0.2	0.48	2.0	3.3	10.5	0.34299999999999997	0.71	5
10.4	0.55	0.23	2.7	3.22	10.3	0.091	0.64	6
6.9	0.36	0.25	2.4	3.41	10.1	0.098	0.6	6
13.3	0.34	0.52	3.2	3.05	9.5	0.094	0.81	6
10.8	0.5	0.46	2.5	3.05	9.5	0.073	0.64	5
10.6	0.83	0.37	2.6	3.16	9.9	0.086	0.52	5
7.1	0.63	0.06	2.0	3.67	9.6	0.083	0.73	5
7.2	0.65	0.02	2.3	3.67	9.7	0.094	0.8	5
6.9	0.67	0.06	2.1	3.68	9.6	0.08	0.71	5
7.5	0.53	0.06	2.6	3.38	10.7	0.086	0.59	6
11.1	0.18	0.48	1.5	3.22	10.1	0.068	0.64	6
8.3	0.705	0.12	2.6	3.51	10.0	0.092	0.72	5
7.4	0.67	0.12	1.6	3.39	9.5	0.18600000000000003	0.54	5
8.4	0.65	0.6	2.1	3.2	9.2	0.11199999999999999	0.52	5
10.3	0.53	0.48	2.5	3.12	9.3	0.063	0.59	6
7.6	0.62	0.32	2.2	3.36	9.4	0.08199999999999999	0.52	5
10.3	0.41	0.42	2.4	3.19	9.5	0.213	0.62	6
10.3	0.43	0.44	2.4	3.19	9.5	0.214	0.63	6
7.4	0.29	0.38	1.7	3.41	9.5	0.062	0.53	6
10.3	0.53	0.48	2.5	3.12	9.3	0.063	0.59	6
7.9	0.53	0.24	2.0	3.27	9.4	0.07200000000000001	0.54	6
9.0	0.46	0.31	2.8	3.32	9.5	0.09300000000000001	0.63	6
8.6	0.47	0.3	3.0	3.3	9.4	0.076	0.53	5
7.4	0.36	0.29	2.6	3.39	11.0	0.087	0.68	5
7.1	0.35	0.29	2.5	3.42	11.0	0.096	0.65	6
9.6	0.56	0.23	3.4	3.3	10.1	0.102	0.65	5
9.6	0.77	0.12	2.9	3.3	10.4	0.08199999999999999	0.64	6
9.8	0.66	0.39	3.2	3.37	11.5	0.083	0.71	7
9.6	0.77	0.12	2.9	3.3	10.4	0.08199999999999999	0.64	6
9.8	0.66	0.39	3.2	3.37	11.5	0.083	0.71	7
9.3	0.61	0.26	3.4	3.24	9.7	0.09	0.62	5
7.8	0.62	0.05	2.3	3.29	9.3	0.079	0.63	5
10.3	0.59	0.42	2.8	3.28	9.5	0.09	0.7	6
10.0	0.49	0.2	11.0	3.16	9.2	0.071	0.69	6
10.0	0.49	0.2	11.0	3.16	9.2	0.071	0.69	6
11.6	0.53	0.66	3.65	3.05	11.5	0.121	0.74	7
10.3	0.44	0.5	4.5	3.28	11.5	0.107	0.83	5
13.4	0.27	0.62	2.6	3.16	9.7	0.08199999999999999	0.67	6
10.7	0.46	0.39	2.0	3.18	9.5	0.061	0.62	5
10.2	0.36	0.64	2.9	3.23	12.5	0.122	0.66	6
10.2	0.36	0.64	2.9	3.23	12.5	0.122	0.66	6
8.0	0.58	0.28	3.2	3.22	9.4	0.066	0.54	6
8.4	0.56	0.08	2.1	3.13	11.0	0.105	0.52	5
7.9	0.65	0.01	2.5	3.34	11.7	0.078	0.74	7
11.9	0.695	0.53	3.4	3.17	12.2	0.128	0.84	7
8.9	0.43	0.45	1.9	3.35	12.5	0.052000000000000005	0.7	6
7.8	0.43	0.32	2.8	3.31	10.3	0.08	0.64	5
12.4	0.49	0.58	3.0	3.16	11.5	0.10300000000000001	1.0	6
12.5	0.28	0.54	2.3	3.11	9.8	0.08199999999999999	1.36	7
12.2	0.34	0.5	2.4	3.12	9.2	0.066	1.18	6
10.6	0.42	0.48	2.7	3.21	11.3	0.065	0.87	6
10.9	0.39	0.47	1.8	3.3	9.8	0.11800000000000001	0.75	6
10.9	0.39	0.47	1.8	3.3	9.8	0.11800000000000001	0.75	6
11.9	0.57	0.5	2.6	3.12	10.7	0.08199999999999999	0.78	6
7.0	0.685	0.0	1.9	3.6	9.9	0.067	0.81	5
6.6	0.815	0.02	2.7	3.58	12.3	0.07200000000000001	0.89	7
13.8	0.49	0.67	3.0	3.02	12.0	0.09300000000000001	0.93	6
9.6	0.56	0.31	2.8	3.11	10.0	0.08900000000000001	0.92	6
9.1	0.785	0.0	2.6	3.36	9.4	0.09300000000000001	0.86	6
10.7	0.67	0.22	2.7	3.28	9.9	0.107	0.98	6
9.1	0.795	0.0	2.6	3.35	9.4	0.096	0.83	6
7.7	0.665	0.0	2.4	3.27	9.3	0.09	0.73	5
13.5	0.53	0.79	4.8	3.18	13.0	0.12	0.77	5
6.1	0.21	0.4	1.4	3.25	11.9	0.066	0.59	6
6.7	0.75	0.01	2.4	3.55	12.8	0.078	0.61	6
11.5	0.41	0.52	3.0	3.26	11.0	0.08	0.88	5
10.5	0.42	0.66	2.95	3.24	11.7	0.11599999999999999	0.75	7
11.9	0.43	0.66	3.1	3.15	10.4	0.109	0.85	7
12.6	0.38	0.66	2.6	3.17	9.8	0.08800000000000001	0.68	6
8.2	0.7	0.23	2.0	3.19	9.4	0.099	0.7	5
8.6	0.45	0.31	2.6	3.37	9.9	0.086	0.91	6
11.9	0.58	0.66	2.5	3.05	10.0	0.07200000000000001	0.56	5
12.5	0.46	0.63	2.0	2.99	10.2	0.071	0.87	5
12.8	0.615	0.66	5.8	3.07	10.0	0.083	0.73	7
10.0	0.42	0.5	3.4	3.26	11.8	0.107	0.93	6
12.8	0.615	0.66	5.8	3.07	10.0	0.083	0.73	7
10.4	0.575	0.61	2.6	3.16	9.0	0.076	0.69	5
10.3	0.34	0.52	2.8	3.18	9.4	0.159	0.64	5
9.4	0.27	0.53	2.4	3.2	12.0	0.07400000000000001	1.13	7
6.9	0.765	0.02	2.3	3.57	9.9	0.063	0.78	5
7.9	0.24	0.4	1.6	3.32	8.7	0.055999999999999994	0.87	6
9.1	0.28	0.48	1.8	3.32	10.6	0.067	1.04	6
7.4	0.55	0.22	2.2	3.05	9.2	0.106	0.63	5
14.0	0.41	0.63	3.8	3.01	10.8	0.08900000000000001	0.81	6
11.5	0.54	0.71	4.4	3.01	11.8	0.124	0.83	7
11.5	0.45	0.5	3.0	3.26	11.0	0.078	1.11	6
9.4	0.27	0.53	2.4	3.2	12.0	0.07400000000000001	1.13	7
11.4	0.625	0.66	6.2	3.11	13.3	0.08800000000000001	0.99	6
8.3	0.42	0.38	2.5	3.31	10.8	0.094	0.7	6
8.3	0.26	0.42	2.0	3.21	9.4	0.08	0.8	6
13.7	0.415	0.68	2.9	3.06	10.0	0.085	0.8	6
8.3	0.26	0.42	2.0	3.21	9.4	0.08	0.8	6
8.3	0.26	0.42	2.0	3.21	9.4	0.08	0.8	6
7.7	0.51	0.28	2.1	3.42	9.2	0.087	0.74	5
7.4	0.63	0.07	2.4	3.43	9.7	0.09	0.76	6
7.8	0.54	0.26	2.0	3.41	9.2	0.08800000000000001	0.74	6
8.3	0.66	0.15	1.9	3.31	9.6	0.079	0.54	6
7.8	0.46	0.26	1.9	3.43	9.2	0.08800000000000001	0.74	6
9.6	0.38	0.31	2.5	3.19	10.0	0.096	0.7	7
5.6	0.85	0.05	1.4	3.56	12.9	0.045	0.82	8
13.7	0.415	0.68	2.9	3.06	10.0	0.085	0.8	6
9.5	0.37	0.52	2.0	3.18	9.5	0.08199999999999999	0.51	5
